-558788	-50490	717424	-278006	-657576
544877	929033	279760	-695022	812880
-639651	-530201	58941	725399	118836
931788	110914	-991229	-255021	432195
994877	256227	218156	769435	589181
297955	-596588	733559	-651809	497760
342207	232443	-461680	-579187	-190352
940253	-645414	-542775	-392742	-717687
-232353	303883	519361	-551374	-908993
-89603	837771	3678	-124365	603743
361285	-617926	-948301	562102	-683745
-745521	-538424	-9175	606909	-402972
689193	430122	-690092	-490	477042
803504	845415	602376	-784960	-133034
680864	-558352	-294001	296525	299438
-365872	402213	247711	317303	-380713
-111360	405051	691980	-57771	949660
-926981	803721	-196887	-923953	621894
-973858	-486866	555325	319242	-87405
788825	-453427	-588388	122414	425853
167187	643019	487991	809660	270543
-887352	-18315	-41102	-931732	784545
-64357	725951	-830816	588566	958147
-162547	-227908	639932	658027	-670363
160615	-542063	549225	218076	-768648
49190	466614	-576761	-525107	-654885
-130897	-685680	-223013	-673933	-433504
-718217	-626575	-134795	-64206	-737272
330155	-484703	-759318	267992	718393
-740165	836326	-279687	-521618	570977
-753293	-808214	632284	592383	179566
46361	668515	-780039	190282	-576862
-516829	-510502	882777	-735225	184895
791939	-293783	778354	18543	-964622
-632472	515961	-810647	-563536	765948
-796970	224235	875131	-871814	523412
139624	230171	476772	-885536	-523862
558789	908096	-513934	7735	-224033
21806	262529	-431894	742244	130250
81126	550809	-212256	-370251	-367547
-809872	341028	-792542	651939	754417
-966494	-141547	-92091	-580607	665070
760272	-13229	985346	-906230	318365
294455	348793	218651	-711019	-305626
98556	787554	-524634	171207	-549061
-225618	503972	-198892	782984	-823988
583834	400495	-707126	826554	184958
531094	122381	-301556	-776991	-565595
532247	261893	-883686	-599761	-206424
77872	129131	150635	251825	855829
732490	-535485	193361	486076	153499
-758773	-676781	226616	-449565	-659065
-455975	4641	532306	-101570	302023
2470	-653086	-459058	476664	854017
-771772	853764	893827	-321474	962618
-237889	63724	-126753	-487204	545763
617251	744436	295806	-388903	74106
215217	523770	989150	620792	-613679
874893	85840	951989	-380951	-358527
-212198	-917785	-641379	541134	-614871
-161432	259256	-931311	-55956	409797
-266514	-414610	-481892	-162475	251587
363436	-564760	-637972	633665	207025
244752	438291	726828	-781230	472367
418443	-767689	-544507	-661011	495982
218346	176287	116139	396025	-895709
-589895	509058	-398776	-580819	528793
978255	-112754	-800745	498298	-996878
39610	-664700	431943	914296	-506904
102026	-986492	343309	206830	584927
380387	218435	618816	-146627	57106
-53600	-716562	-617736	-780014	359507
-241148	-716878	994756	474704	950951
923191	-886756	-595368	-25751	889479
-493065	-701534	-51890	-539827	126884
-258629	-555967	-771168	-506001	-954872
-770585	-175285	922625	915424	-979902
688945	-882166	267963	94245	399590
-589154	706394	965978	-900962	-661570
-651904	326096	-902751	34684	772145
-580685	256118	-31904	-304997	-56016
165866	522377	-996022	821565	271158
384067	389325	-57734	475914	507711
339447	-902987	113308	-103644	599130
-48989	467519	239551	997943	332777
481939	523720	254054	-864613	-644291
824367	-433310	-787215	-62822	-317843
-176929	-853776	175046	24207	-580645
-690921	-124313	40708	838498	-462973
895726	-413923	-228378	-872346	282056
-719628	-882912	585893	-399372	-330890
-568585	262102	-968105	79782	-574049
392636	977449	-657831	419991	-196394
599289	863854	994364	159819	-299623
714950	871965	-812562	301589	-45995
237931	-356727	28299	37084	331758
425420	-133316	431719	354836	5658
445042	-881664	-566377	615669	-202452
-280450	-557585	-553981	-799985	-374
80854	519669	-421296	-473578	-314129
351749	603789	471818	-350083	672444
93343	-987871	-39976	-91463	459542
328184	-719758	-240683	-11312	627926
503240	-791624	-139200	-775933	991238
-602724	-348583	10421	-796965	607056
-32735	-4802	-778682	-911382	-1390
187071	108451	227207	-123013	614316
88441	-645709	682997	459708	-975826
426654	-21770	289557	901014	691907
12207	-137546	-395133	-411553	432565
470078	-912589	-985421	-793828	386437
325659	-474551	-954609	171984	-903145
-906162	969317	-989097	-164531	265091
-113063	195528	860450	959411	-643864
157757	-891229	974576	-405006	-336988
-141893	-500532	-170052	213120	34569
680831	171043	-255	-792616	342469
876849	-117001	-801290	-214894	741301
732237	-795180	301176	712350	-5271
275205	-489201	-909855	-598148	-184650
61378	-635236	849609	-398372	243145
469156	970449	152366	840993	759420
362781	212830	86668	-545086	75262
-493864	-504908	844041	134358	-235443
-280131	835868	280116	439423	45898
993048	742645	700240	108158	-313740
614143	-198837	595673	-9477	704359
331700	-691138	-710626	-389960	782562
-655951	-207724	-216243	561507	-996632
-380701	-95287	-319816	103585	-970052
519001	246925	-640361	-53055	267314
-521382	-903230	-197792	-759899	-540515
517413	-919081	953974	340921	-38997
613100	113980	-764794	-629335	442351
487286	589997	-493274	-478596	-350573
192866	-391846	-319018	914860	314172
116973	-68286	-576825	-109178	-367293
281272	-863667	413793	-768269	-831894
153534	546786	-678085	5061	-238794
-133976	873538	-535707	-674602	841288
363454	-36684	845613	-193842	971456
-667527	-918820	220121	-708742	832041
416654	-729975	-885275	819960	55216
79578	327063	40950	131122	257243
256749	969020	-997592	-239810	550736
-611506	-644424	768485	-433070	713305
-198352	864727	838946	-408134	773177
-564921	786927	-758009	928007	-726599
916870	-99209	-204302	287536	-878855
532608	210697	-155698	212383	-580822
999331	550949	472389	858094	859919
165289	-787801	-885324	-763420	-96940
892260	-848089	713203	-422171	679834
311962	777522	479346	-448941	-1651
-908474	340028	-649630	-563313	-260814
-436104	-532495	402469	720974	-188735
-83798	487542	-902308	-78751	-982190
-836776	707246	531757	-995694	-680694
246713	292780	-794044	290346	-874759
142441	-162319	-985545	-583089	526788
-184529	-153132	243012	-158149	-640132
2827	129147	978762	-4179	843518
33206	-701299	570098	-124672	-410599
-378680	453310	66659	-603131	-804657
802148	-935610	177672	43037	-117533
-527697	-367424	-854674	-109434	275664
181189	94937	-698318	935827	-359258
-873737	-5985	938327	-118455	451336
869498	-690234	-960359	761723	-645294
-434096	558817	185895	166650	589114
387462	335000	-764721	998824	406286
-510014	545527	-529290	331150	-921588
21078	-776540	50999	646726	24977
-37038	165237	-365139	-256218	-590664
530053	-923127	959002	-139305	-88362
-200757	588235	973643	762133	982459
-961068	-897093	49307	-976636	161961
693025	507826	-943665	-812580	517552
-23721	-722167	-601112	661454	641507
141784	536366	134501	-589817	-26662
592775	-284825	62028	-695094	12316
-498363	64604	-642591	403506	-805960
-438378	32682	-447770	-198459	-950715
934059	584612	696533	219336	674478
710411	-152670	977181	845212	149288
-203047	-999759	-740318	649712	-464887
869805	642044	-399087	-332890	390415
881343	93088	94748	521889	-175041
-480551	-873318	714890	-856581	580111
782	684944	982718	-103542	-859137
-756737	823019	918148	-848732	-868980
198470	-428142	-185664	832589	-641586
922944	112853	-314411	40847	-612221
330179	510302	452055	-362010	-626976
959214	660385	209383	-62910	-847572
345683	348462	879890	-312634	-836857
-317366	-102141	-271739	734309	831254
185143	417370	235329	-20743	715907
147434	51610	358127	-701716	-328055
-447798	-578036	279598	-105742	828593
-733534	750593	-321536	592244	138596
91293	43727	676219	-941730	-485228
730338	951898	188368	-204127	687568
447616	709339	664527	989355	534613
-132578	-579265	-608329	63717	38299
610443	914551	459675	522256	52676
640920	181556	-575333	-792273	641965
294476	-110282	-567714	606825	-417038
-555882	-596482	-539323	-883921	-774626
745679	-830836	444967	478898	-630573
517712	-910039	508028	-855970	-692941
507713	-818624	-851412	950040	-217049
-206021	-878548	544794	463293	515023
-85840	-453768	-606761	824233	-42984
205676	242516	-772299	-205355	-941327
120574	-919352	550797	622241	-112602
137339	-294401	-638861	-945496	-204898
722067	-384790	-376534	223014	-931948
-220871	-932191	-695934	-635327	-653346
-70555	-336752	-221997	739896	418151
832990	-70502	433412	-187257	333306
514458	-184014	-845136	-876540	47475
-620296	-414112	-295498	-296149	758578
-994474	-174754	677425	-622453	-180075
-570868	-375951	66045	657896	-237019
342788	966547	-586589	-516668	223387
987585	-531900	-152669	-62224	-84625
453021	236194	58658	407784	-945715
944507	-678021	-533349	568148	-947211
-329583	28728	-302379	-859207	-543623
607911	-632312	964222	-993991	-236380
-636173	905730	-812593	479018	-280754
-986532	-235969	-87967	-127039	888721
-493511	-241494	-17705	-698739	787704
787667	-871108	414891	908966	743623
393069	850944	-463005	412834	-873845
690775	308246	-256937	-523906	-401467
-975912	569125	980155	-962187	630712
952517	469998	-942976	403861	397055
539095	603380	-528089	895404	437967
911606	274726	-222195	368355	-535706
433508	378797	-2786	-507509	693531
184903	89580	-621321	-334856	634983
-416332	-109526	-860466	-819673	-666439
-47445	84554	-638008	609411	-768992
-333034	314112	615193	-840050	53474
-925924	847931	700458	409111	266164
370977	48504	-333678	-59680	-268688
885937	759223	238351	252017	669386
912740	-295337	419416	-238785	-752224
-837746	-552921	789465	-971297	-367783
-46819	-895913	-604943	214151	-556746
-894463	173934	752389	986296	942825
-18930	-963615	-96158	813094	40192
-565885	-194355	-439570	938559	-397458
